"Proximal,10ms,0.2Hz,9.4GPM","Distal,10ms,0.2Hz,9.4GPM","Proximal,10ms,0.2Hz,8.6GPM","Distal,10ms,0.2Hz,8.6GPM","Proximal,10ms,0.2Hz,7.8GPM","Distal,10ms,0.2Hz,7.8GPM","Proximal,10ms,0.2Hz,6.7GPM","Distal,10ms,0.2Hz,6.7GPM","Proximal,10ms,0.2Hz,5.4GPM","Distal,10ms,0.2Hz,5.4GPM","Proximal,10ms,0.2Hz,3.9GPM","Distal,10ms,0.2Hz,3.9GPM","Proximal,10ms,0.2Hz,3.2GPM","Distal,10ms,0.2Hz,3.2GPM"
31.15,31.384,29.671,31.454,31.174,30.987,31.22,31.08,29.374,31.08,31.665,31.641,31.267,31.9
30.778,31.034,29.786,31.594,31.267,30.778,31.174,31.08,29.42,30.918,31.22,31.923,30.662,31.876
30.825,31.15,29.671,31.407,31.174,30.5,31.15,31.127,29.42,30.941,31.384,31.127,31.29,31.853
30.801,30.894,29.671,31.501,31.127,30.755,31.15,31.15,29.465,30.848,31.618,31.548,31.267,31.9
30.778,31.15,29.671,31.431,31.267,30.848,31.011,31.08,29.42,31.011,31.314,31.454,31.15,31.876
30.755,30.941,29.649,31.501,31.384,30.709,31.104,31.15,29.649,30.662,30.384,31.641,31.197,31.876
30.894,30.685,29.671,31.501,31.477,30.477,31.104,31.127,29.557,30.894,31.267,31.524,31.29,31.876
30.825,31.011,29.603,31.477,31.407,30.755,31.127,31.034,29.397,30.848,31.267,31.548,31.127,31.735
30.941,31.08,29.649,31.407,30.801,30.685,31.034,31.15,29.671,30.848,31.641,31.548,31.15,31.876
30.755,31.314,29.671,31.477,31.197,30.732,31.104,31.034,29.671,30.894,31.244,31.314,31.15,31.853
30.778,31.127,29.374,30.755,31.174,30.384,31.08,31.127,30.085,30.941,31.15,31.641,31.15,31.9
30.709,31.034,29.671,31.548,31.712,30.778,30.778,31.15,29.169,30.848,31.267,31.548,31.15,31.9
31.15,30.987,29.557,31.477,31.22,30.778,30.941,31.08,29.534,31.011,31.267,31.548,31.15,31.9
31.197,31.011,29.603,30.848,31.08,30.662,30.987,31.127,29.511,30.918,31.15,31.548,31.15,30.062
30.108,30.894,29.649,31.477,31.15,30.825,30.894,31.104,29.786,30.778,31.267,31.524,31.127,31.876
29.237,31.36,29.603,31.477,31.15,30.894,30.894,31.15,29.671,30.825,31.29,31.477,31.174,31.9
30.941,30.778,29.626,31.501,31.15,30.755,30.894,31.174,29.809,30.918,31.477,31.524,31.15,31.9
30.778,31.174,29.626,31.524,31.15,30.848,30.825,31.034,29.511,31.057,31.22,31.477,31.034,31.782
31.08,30.918,29.603,31.407,31.15,32.443,30.801,31.127,28.782,31.15,31.22,31.524,31.034,31.9
30.662,31.15,29.58,31.29,32.919,30.825,30.801,31.08,29.283,31.197,31.314,31.548,31.011,31.9
30.848,31.197,29.534,31.524,31.15,30.732,30.778,31.15,29.534,30.778,31.267,31.501,31.011,31.9
